OTU,NM-L+P+1,NM-L+P+2,NM-L+P+3,NM-L+P+4,NM-L+P+5,AM-L-P+1,AM-L-P+2,AM-L-P+3,AM-L-P+4,AM-L-P+5,NM-L+P-1,NM-L+P-2,NM-L+P-3,NM-L+P-4,NM-L+P-5,AM-L-P-1,AM-L-P-2,AM-L-P-3,AM-L-P-4,AM-L-P-5
OTU181,0,0,0,1,0,0,0,0,0,0,0,0,71,0,0,0,0,0,0,0
OTU182,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
OTU183,0,0,0,0,0,0,0,0,0,0,0,0,184,163,0,0,0,0,0,0
OTU184,0,0,0,7,3,202,191,1,2,0,0,0,157,0,0,151,0,0,0,0
OTU185,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU186,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU187,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU188,0,0,0,1,2,0,0,0,0,0,0,0,0,204,2,0,0,0,0,0
OTU189,0,0,0,0,0,0,214,0,0,0,0,0,289,142,0,406,0,0,0,0
OTU190,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU191,119,103,61,7,0,2,53,2,578,0,0,0,77,0,0,0,0,3,0,0
OTU192,0,0,0,0,0,0,115,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU194,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU195,0,0,0,3,0,0,0,0,0,0,0,0,77,379,1,59,0,0,0,0
OTU196,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU197,43,60,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0
OTU198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,0,0,0,0
OTU200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU201,0,0,54,197,0,561,583,0,0,0,0,667,629,353,0,828,0,0,6,14
OTU202,933,670,67,190,716,0,0,522,2090,0,0,530,345,0,607,231,1322,0,0,0
OTU203,0,0,0,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
OTU206,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU207,0,0,0,2,0,125,88,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU208,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU209,1165,1029,246,0,0,288,274,467,2,1620,0,762,84,5,0,244,285,0,3,3
OTU210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU211,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU212,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU213,0,0,0,1,2,177,83,0,0,0,0,0,0,393,0,0,0,0,0,0
OTU214,0,0,790,0,586,0,0,0,0,0,0,0,115,0,0,0,258,61,0,0
OTU215,0,8,0,201,0,0,0,0,0,0,0,0,260,582,6,0,0,0,0,0
OTU216,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU218,0,0,0,0,0,0,0,0,0,0,0,0,0,96,0,289,0,1,0,0
OTU219,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU220,0,0,0,0,0,0,34,0,0,0,0,0,0,47,1,75,0,0,0,0
OTU221,2,0,0,319,0,0,61,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU223,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,755,2
OTU224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU225,521,392,219,2,0,80,106,0,1524,0,0,0,102,423,0,19,469,5,0,0
OTU226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU228,0,0,0,0,0,0,155,0,0,0,0,0,349,304,0,370,0,0,0,0
OTU229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU230,0,0,0,3,0,0,0,530,0,1,0,0,150,0,0,0,0,0,0,0
OTU231,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU235,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0
OTU236,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU238,1,0,1,3,0,0,14,0,0,0,0,0,67,93,1,36,0,0,0,0
OTU239,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU240,0,0,0,0,0,0,0,0,0,0,0,0,141,0,440,55,0,3,0,0
OTU241,0,0,0,0,0,44,0,0,0,0,0,324,219,0,910,281,0,0,0,0
OTU242,0,8,31,0,177,208,149,0,0,0,295,0,0,0,0,0,0,0,0,0
OTU243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU244,0,4,0,6,1232,155,110,0,0,1,730,0,0,5,437,0,0,621,0,1
OTU245,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU247,245,179,0,0,0,0,28,1,0,0,1,0,64,0,0,6,1,0,0,1
OTU248,0,0,0,4,0,0,95,0,0,0,0,0,560,0,5,184,0,0,0,0
OTU249,0,0,0,0,0,3,35,0,0,1,0,402,0,0,1,169,0,0,0,0
OTU250,0,0,50,0,0,0,0,0,0,0,1295,0,0,0,0,0,0,0,0,0
OTU251,0,0,0,8,0,0,98,0,0,0,0,0,117,0,0,223,0,2,1,0
OTU252,0,82,0,0,0,0,0,0,0,0,2151,0,0,0,0,0,0,0,0,0
OTU253,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU254,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU255,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0
OTU256,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU258,0,0,0,0,0,223,171,0,0,1,0,0,0,0,0,0,0,0,0,808
OTU259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU260,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU262,328,183,0,320,0,0,0,0,0,443,1,0,0,109,1,5,0,0,0,4
OTU263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
OTU264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,0,0
OTU265,0,0,19,6,1,111,196,0,0,0,0,0,75,0,0,48,1,0,0,0
OTU266,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU269,0,0,0,499,0,0,378,0,0,0,0,0,0,398,0,612,0,0,0,0
OTU270,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
OTU271,0,0,0,0,0,0,0,0,0,0,0,0,84,0,0,0,0,0,0,0
OTU272,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU275,0,0,0,2,0,0,20,0,0,0,0,0,67,0,681,135,0,0,1,0
OTU276,0,14,0,246,838,0,0,0,0,991,0,0,162,558,0,0,0,0,0,0
OTU277,0,0,0,142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OTU279,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
