,OTUs,a,b,c,size,Class
398,ASV15630,0.000316136,0,0,0.01053788,a
399,ASV15631,0.000270173,0,0,0.009005777,a
400,ASV15632,0.000291473,0,0,0.009715776,a
401,ASV15633,0.000284747,0.000204031,0,0.016292609,a
402,ASV15634,0.000264568,0,0,0.008818935,a
403,ASV15635,0.000254479,0,0,0.00848262,a
404,ASV15636,0.000239905,0,0,0.007996831,a
405,ASV15637,0.000251115,0,0,0.008370515,a
406,ASV15640,0.000208516,0,0,0.006950517,a
407,ASV15642,0.000206273,0,0,0.00687578,a
408,ASV157,0.000283626,0.000385642,3.36E-06,0.022421022,b
409,ASV158,0.000214121,0.000263447,0,0.015918926,b
410,ASV1584,0,0.001299298,0.001244367,0.084788831,b
411,ASV1586,0,0.000817246,0,0.027241542,b
412,ASV1587,0.00166364,0.002101971,0,0.125520355,b
413,ASV1588,0.000989888,0.002946122,0.001512298,0.181610278,b
414,ASV159,0.000136768,0.00057622,0,0.023766283,b
415,ASV1590,0.002375507,0.000754467,0.000173763,0.110124586,a
416,ASV16,0.001138988,0.003858658,0.002033587,0.234374416,b
417,ASV1602,0.001312751,0.000471963,0,0.059490445,a
418,ASV16059,1.68E-05,0,0.000273536,0.009678408,c
419,ASV1613,0,0.000284747,9.19E-05,0.012555772,b
420,ASV1615,0.00133293,0,0,0.044430992,a
421,ASV1618,5.61E-06,0.000445057,0.000397973,0.028287856,b
422,ASV162,0.000429363,0.000263447,0.000205152,0.029932064,none
423,ASV1627,0.000863209,0,0,0.028773645,a
424,ASV163,0.000486536,0,0.000213,0.023317863,a
425,ASV164,0,0.000887872,1.12E-06,0.029633117,b
426,ASV165,0.00060761,0,0,0.020253656,a
427,ASV16541,7.85E-06,0.000762315,0,0.02567207,b
428,ASV1663,0.000236542,0,0.00026681,0.016778398,c
429,ASV1675,2.24E-05,2.24E-06,0.00827672,0.276712779,c
430,ASV168,1.12E-06,0.000494384,2.24E-06,0.016591556,b
431,ASV1685,0,0.000128921,0.001292572,0.047383093,c
432,ASV17,0.002603081,0.005902334,0.00205825,0.35212215,b
433,ASV1706,0,0.002283581,1.57E-05,0.076642527,b
434,ASV171,0,0.000510078,0.000102016,0.02040313,b
435,ASV1716,0,0,0.001840766,0.061358863,c
436,ASV172,0.000278021,0,0.000528015,0.026867858,c
437,ASV1722,0,0,0.000968588,0.032286272,c
438,ASV1723,0,3.36E-06,0.001008946,0.033743638,c
439,ASV1725,0,0,0.001285846,0.04286152,c
440,ASV1727,2.24E-06,9.64E-05,0.001956234,0.068496222,c
441,ASV1729,1.12E-06,5.61E-06,0.000844151,0.028362593,c
442,ASV1730,2.24E-06,5.61E-06,0.000850878,0.028624171,c
443,ASV1731,0.001391224,0.000899083,0.001522387,0.127089826,none
444,ASV1732,0.00137553,0.000412547,0.000649089,0.081238836,a
445,ASV1736,1.12E-06,0,0.000674873,0.022533127,c
446,ASV174,0.001603103,0.002784691,0.000780252,0.172268185,b
447,ASV1743,0,3.36E-05,0.000226452,0.008669462,c
448,ASV17441,0,0.00246407,0,0.082135677,b
449,ASV17442,0,0.002106455,0,0.070215167,b
450,ASV17443,0,0.001223067,0,0.040768892,b
451,ASV17444,0,0.001163651,0,0.038788368,b
452,ASV17445,0,0.001178225,0,0.039274157,b
453,ASV17446,0,0.001138988,0,0.037966264,b
454,ASV17447,0,0.000979799,0,0.032659955,b
455,ASV17448,0,0.00097083,0,0.032361008,b
456,ASV17449,0,0.000838546,0,0.027951541,b
457,ASV17450,0,0.000803794,0,0.026793121,b
458,ASV17451,0,0.000791462,0,0.026382069,b
459,ASV17452,0,0.000716352,0,0.023878388,b
460,ASV17453,0,0.000689446,0,0.022981547,b
461,ASV17454,0,0.000656936,0,0.021897865,b
462,ASV17455,0,0.000643483,0,0.021449444,b
463,ASV17456,0,0.000591915,0,0.019730499,b
464,ASV17457,0,0.000558283,0,0.018609448,b
465,ASV17458,0,0.00053362,0,0.017787344,b
466,ASV17459,0,0.000553799,0,0.018459975,b
467,ASV17460,0,0.000374431,0,0.012481036,b
468,ASV17461,0,0.000353131,0,0.011771037,b
469,ASV17462,0,0.000311652,0,0.010388407,b
470,ASV1749,0,4.48E-06,0.000946167,0.031688378,c
471,ASV1751,2.24E-06,4.48E-06,0.000679357,0.022869442,c
472,ASV1760,0,0,0.00068272,0.022757337,c
473,ASV17673,0,0.000355373,0,0.011845773,b
474,ASV1770,0.000374431,0,0,0.012481036,a
475,ASV17758,0,0.000389005,0,0.012966824,b
476,ASV17798,0,0.00093832,0,0.031277326,b
477,ASV17799,0,0.000884509,0,0.029483644,b
478,ASV17800,0,0.000929351,0.00026681,0.039872051,b
479,ASV17801,0,0.000724199,0,0.024139967,b
480,ASV17802,0,0.000742136,0,0.024737861,b
481,ASV17803,0,0.000672631,0,0.022421022,b
482,ASV17804,0,0.000638999,0,0.021299971,b
483,ASV17805,0,0.000609852,0,0.020328393,b
484,ASV17806,0,0.000630031,0,0.021001024,b
485,ASV17807,0,0.000616578,0,0.020552603,b
486,ASV17808,0,0.000526894,0,0.017563134,b
487,ASV17809,0,0.000801552,0,0.026718384,b
