,OTUs,A,B,C,size,Class
392,ASV217,0.0015843,0.002184118,0.003866215,0.254487765,C
393,ASV21813,0,0,0.000580258,0.019341939,C
394,ASV22,0.000665015,9.13E-05,0.000345547,0.036727952,A
395,ASV220,0.000123875,0.000462903,0.000299909,0.029556222,B
396,ASV221,0.000176033,0.001193115,0.001669057,0.101273525,C
397,ASV2210,7.82E-05,9.78E-05,0.000475942,0.021732516,C
398,ASV2212,2.61E-05,0.000502021,8.48E-05,0.020428565,B
399,ASV2225,3.91E-05,0.00026731,0,0.010214283,B
400,ASV2227,1.96E-05,0,0.000430304,0.014995436,C
401,ASV225,0.000312948,0.000580258,0.000208632,0.036727952,B
402,ASV229,0.00027383,0.0005281,0.000645456,0.048246186,none
403,ASV23,0.002001565,0.009603599,0.002516625,0.470726301,B
404,ASV2301,1.96E-05,0,0.00026079,0.009344982,C
405,ASV231,0.00612205,0,0,0.204068327,A
406,ASV2316,1.96E-05,0.000228191,0,0.008258356,B
407,ASV2365,1.96E-05,0.000397705,0.000756292,0.039118529,C
408,ASV23828,0,0,0.000860608,0.028686921,C
409,ASV23829,0,0,0.000736732,0.024557743,C
410,ASV23830,0,0,0.000651975,0.021732516,C
411,ASV23831,0,0,0.000743252,0.024775068,C
412,ASV23832,0,0,0.000723693,0.024123093,C
413,ASV23833,0,0,0.000678055,0.022601817,C
414,ASV23834,0,0,0.000625896,0.020863216,C
415,ASV23835,0,0,0.000632416,0.021080541,C
416,ASV23836,0,0,0.000593298,0.01977659,C
417,ASV23837,0,0,0.000665015,0.022167167,C
418,ASV23838,0,0,0.000580258,0.019341939,C
419,ASV23839,0,0,0.000619377,0.02064589,C
420,ASV23840,0,0,0.000593298,0.01977659,C
421,ASV23841,0,0,0.000567219,0.018907289,C
422,ASV23842,0,0,0.000573738,0.019124614,C
423,ASV23843,0,0,0.00054114,0.018037988,C
424,ASV23844,0,0,0.000612857,0.020428565,C
425,ASV23845,0,0,0.000567219,0.018907289,C
426,ASV23846,0,0,0.000710653,0.023688443,C
427,ASV23847,0,0,0.000488982,0.016299387,C
428,ASV23848,0,0,0.000554179,0.018472639,C
429,ASV23849,0,0,0.000554179,0.018472639,C
430,ASV23850,0,0,0.0005281,0.017603338,C
431,ASV23851,0,0,0.000469422,0.015647412,C
432,ASV23852,0,0,0.000502021,0.016734037,C
433,ASV23853,0,0,0.000502021,0.016734037,C
434,ASV23854,0,0,0.000547659,0.018255314,C
435,ASV23855,0,0,0.000430304,0.014343461,C
436,ASV23856,0,0,0.000475942,0.015864737,C
437,ASV23857,0,0,0.000456383,0.015212761,C
438,ASV23858,0,0,0.000443343,0.014778111,C
439,ASV23859,0,0,0.000378146,0.012604859,C
440,ASV23860,0,0,0.000449863,0.014995436,C
441,ASV23861,0,0,0.000410745,0.013691485,C
442,ASV23862,0,0,0.000443343,0.014778111,C
443,ASV23863,0,0,0.000365106,0.012170209,C
444,ASV23864,0,0,0.000423784,0.014126136,C
445,ASV23865,0,0,0.000417264,0.01390881,C
446,ASV23866,0,0,0.000358587,0.011952884,C
447,ASV23867,0,0,0.000443343,0.014778111,C
448,ASV23868,0,0,0.000391185,0.01303951,C
449,ASV23869,0,0,0.000391185,0.01303951,C
450,ASV23870,0,0,0.000449863,0.014995436,C
451,ASV23871,0,0,0.000345547,0.011518234,C
452,ASV23872,0,0,0.000391185,0.01303951,C
453,ASV23873,0,0,0.000417264,0.01390881,C
454,ASV23874,0,0,0.000404225,0.01347416,C
455,ASV23875,0,0,0.000325988,0.010866258,C
456,ASV23876,0,0,0.000436824,0.014560786,C
457,ASV23877,0,0,0.000397705,0.013256835,C
458,ASV23878,0,0,0.000352067,0.011735559,C
459,ASV23879,0,0,0.000404225,0.01347416,C
460,ASV23880,0,0,0.000410745,0.013691485,C
461,ASV23881,0,0,0.000339027,0.011300908,C
462,ASV23882,0,0,0.000325988,0.010866258,C
463,ASV23883,0,0,0.000371626,0.012387534,C
464,ASV23884,0,0,0.000867127,0.028904247,C
465,ASV23885,0,0,0.000352067,0.011735559,C
466,ASV23886,0,0,0.000332507,0.011083583,C
467,ASV23887,0,0,0.000319468,0.010648933,C
468,ASV23888,0,0,0.000339027,0.011300908,C
469,ASV23889,0,0,0.000430304,0.014343461,C
470,ASV23890,0,0,0.000404225,0.01347416,C
471,ASV23891,0,0,0.000391185,0.01303951,C
472,ASV23892,0,0,0.000332507,0.011083583,C
473,ASV23893,0,0,0.000378146,0.012604859,C
474,ASV23894,0,0,0.000345547,0.011518234,C
475,ASV23895,0,0,0.000332507,0.011083583,C
476,ASV23896,0,0,0.000345547,0.011518234,C
477,ASV23897,0,0,0.000391185,0.01303951,C
478,ASV23898,0,0,0.00027383,0.009127657,C
479,ASV23899,0,0,0.000371626,0.012387534,C
480,ASV23900,0,0,0.000352067,0.011735559,C
481,ASV23901,0,0,0.000358587,0.011952884,C
482,ASV23902,0,0,0.000280349,0.009344982,C
483,ASV23903,0,0,0.000306428,0.010214283,C
484,ASV23904,0,0,0.000371626,0.012387534,C
485,ASV23905,0,0,0.000352067,0.011735559,C
486,ASV23906,0,0,0.000352067,0.011735559,C
487,ASV23907,0,0,0.000325988,0.010866258,C
